right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,label
56.124187,64.709984,140.52048,117.91161,85.497925,good
56.940228,48.48795,137.97334,127.093834,89.79824,good
64.642815,54.069153,45.94959,66.926674,67.82151,good
67.601715,99.2997,97.28296,107.11434,56.51265,good
104.601425,122.13412,32.217705,45.986534,31.674522,good
47.362755,90.95016,33.934483,56.55392,43.897675,good
51.375618,23.35213,125.132416,103.65557,125.50756,good
120.66067,120.345825,22.621399,25.781801,24.096252,good
58.495647,43.78781,18.907318,60.335762,61.56058,good
59.93049,19.2885,105.81975,25.720339,93.802216,good
33.471558,35.43992,21.593245,26.968666,24.140665,good
77.74207,79.011406,35.503437,69.25521,82.68668,good
39.49785,55.666355,36.04332,69.87283,64.46839,good
85.60555,82.762146,21.993788,56.76948,42.041676,good
36.9339,50.329075,37.175545,83.00343,83.09104,good
133.86078,119.86575,64.15248,131.44164,82.8659,good
116.28013,130.14099,36.57469,52.19388,67.09665,good
152.46097,140.87146,109.151535,65.67472,79.093765,good
142.77113,125.82695,122.6806,57.621445,76.345276,good
131.58826,106.60223,119.23384,59.301716,84.66619,good
124.268745,124.916145,34.30347,32.95683,31.47198,good
86.964516,88.534935,40.963764,40.220127,40.117184,good
112.97718,125.69397,46.638126,37.63715,25.884758,good
83.292694,96.09441,99.96552,147.23541,109.35036,good
112.69556,82.86918,79.101616,33.849846,37.663868,good
114.28339,72.42461,76.57329,31.012827,35.359657,good
142.10138,111.9748,60.358303,41.779503,34.298027,good
93.94132,95.727356,20.22153,56.319313,56.325016,good
112.201065,118.62345,35.48182,65.76839,43.55756,good
34.13627,6.369506,116.179,115.99958,113.108696,good
114.35605,136.19789,136.17087,126.93774,54.18434,good
110.83487,155.87402,98.979225,142.24057,114.62954,good
82.39476,80.0072,35.882446,39.995777,36.53889,good
144.1856,125.853714,54.543808,27.201632,67.925064,good
105.33009,96.29796,49.709232,19.895544,51.458054,good
76.80862,60.997833,54.6454,58.674408,69.54371,good
70.26278,92.70671,25.538353,45.533726,51.218792,good
95.99729,116.89505,20.573824,43.08223,44.64983,good
49.395927,48.827908,103.042946,131.2061,164.82942,good
50.827873,51.889942,26.67355,51.398388,57.356285,good
140.17908,128.17801,110.516106,100.72941,122.08596,good
74.64103,47.48612,147.00638,81.793945,88.532555,good
15.35874,40.41893,80.3483,70.34809,56.19992,good
18.191757,48.841953,74.959496,86.22019,115.849686,good
46.636093,42.93762,13.97844,48.499783,44.105392,good
51.262215,76.426285,143.26436,77.887375,123.86919,good
37.118378,34.966682,15.727053,51.45092,46.562546,good
74.57218,62.83693,127.60183,41.660736,106.14491,good
122.8775,125.03885,14.847663,49.576077,44.084564,good
66.56767,58.274647,125.80432,60.444637,103.80313,good
19.946281,18.72638,31.683353,47.736523,39.125805,good
117.43909,113.28841,96.634346,91.9625,111.21913,good
32.387325,26.196344,50.788834,138.25172,112.87655,good
64.48114,98.60693,107.222664,121.619896,99.56879,good
64.9254,45.70847,38.72913,50.765015,62.50473,good
69.43323,69.562355,15.902537,69.63695,70.265755,good
61.635963,57.28506,31.185638,43.63419,49.845398,good
99.40973,53.90668,132.89458,66.709564,134.1793,good
110.66399,58.02268,132.90558,78.83042,153.25482,good
121.90155,122.15664,29.684752,50.906372,47.95945,good
109.987144,82.09728,31.250519,56.625084,57.4739,good
101.565636,109.84204,30.196527,44.497044,46.616455,good
100.9456,97.74361,23.168633,35.49399,33.971874,good
131.68114,145.63628,27.99568,37.09464,37.061253,good
47.791702,96.569244,125.56305,162.24792,122.58684,good
21.428038,27.5098,48.832172,133.0351,96.20708,good
25.206976,69.30529,115.95817,151.01895,95.242134,good
2.4184847,28.617159,120.11988,48.246887,92.70428,good
103.264015,107.56528,18.950628,20.292973,34.43295,good
49.373837,36.314533,42.33453,73.819466,63.511215,good
69.07767,102.16496,49.12566,65.90811,60.39708,good
123.45658,67.37481,33.449665,62.014194,44.29045,good
94.643814,48.26202,48.341267,31.520441,33.112057,good
128.15363,82.23487,27.129614,55.12794,40.5692,good
24.57254,65.46581,133.4927,41.908703,35.39051,good
64.623,61.95882,21.52567,27.9271,21.85557,good
38.328217,52.143284,84.69231,134.92072,146.15451,good
49.45806,75.98219,103.656586,116.10943,143.06215,good
60.130558,58.95853,23.960854,31.318476,22.195406,good
47.665577,69.127716,118.16148,51.12517,50.985497,good
46.092403,73.7875,83.70735,51.261986,31.903208,good
124.00574,124.14297,27.921535,43.179855,27.249294,good
92.71688,77.50866,83.17011,86.768135,92.05642,good
104.54634,69.964645,61.9016,66.500275,67.59302,good
14.387166,40.626343,49.238056,50.87506,47.728683,good
109.01917,121.77305,30.812925,48.07443,31.015099,good
97.73002,93.085175,26.85839,54.194298,50.43567,good
124.20058,113.89972,131.50809,72.47911,138.79523,good
118.79926,114.338165,26.997786,38.085876,39.15126,good
127.71539,124.72228,28.953075,35.500523,32.541584,good
129.45638,140.08685,46.37727,35.812584,38.873917,good
43.51876,88.141975,47.536514,53.53698,30.210512,good
142.18204,140.55476,113.921326,60.218414,42.06196,good
68.9993,66.728165,23.193783,55.747032,60.013454,good
118.19803,106.54448,31.634872,64.33312,57.585403,good
106.28696,125.53295,71.83046,32.904568,14.090917,good
85.87858,88.230995,27.029358,37.30231,38.08172,good
67.59529,15.296713,120.26694,101.24631,119.31635,good
105.0732,97.21207,68.640945,30.057673,55.07821,good
105.34521,89.39419,61.672085,43.67931,66.3816,good
90.47143,120.102234,127.75446,132.24506,77.54608,good
86.44223,99.40908,137.90239,132.92105,54.745975,good
55.35735,58.60498,80.56123,52.401314,135.6828,good
43.390827,37.88401,72.95275,124.11327,87.320145,good
36.143322,37.479862,30.723372,33.320236,29.203001,good
134.7984,136.60945,18.732687,43.60676,45.097443,good
123.40034,126.32214,19.600826,44.793083,46.24656,good
131.8849,133.48865,18.563564,39.673267,39.780907,good
83.35864,87.52965,33.401215,66.822754,51.34264,good
